objectid,title,filename,author,description,link,sourcetype,format,type,language,display_template,object_location,image_small,image_thumb
bodenhamer,*Deep Maps and Spatial Narratives*,bodenhamer.jpg,David J. Bodenhamer,"Synopsis excerpt: The essays in this book investigates the practice of deep mapping. Deep maps are finely detailed, multimedia depictions of a place and the people, buildings, objects, flora, and fauna that exist within it and which are inseparable from the activities of everyday life. ",https://www-jstor-org.uidaho.idm.oclc.org/stable/j.ctt1zxxzr2,book,image/jpeg,Image;StillImage,eng,image,/objects/bodenhamer.jpg,/objects/small/bodenhamer_sm.jpg,/objects/thumbs/bodenhamer_th.jpg
bsumek,*The Foundations of Glen Canyon Dam: Infrastructures of Dispossession on the Colorado Plateau*,bsumek.jpg,Erika Marie Bsumek,"Synopsis excerpt: Erika Marie Bsumek reorients the story of the Glen Canyon Dam to reveal a pattern of Indigenous erasure by weaving together the stories of religious settlers and Indigenous peoples, engineers and biologists, and politicians and spiritual leaders.",https://utpress.utexas.edu/9781477303818/,book,image/jpeg,Image;StillImage,eng,image,/objects/bsumek.jpg,/objects/small/bsumek_sm.jpg,/objects/thumbs/bsumek_th.jpg
curley,"*Carbon Sovereignty: Coal, Development, and Energy Transition in the Navajo Nation*",curley.jpg,Andrew Curley,"Synopsis excerpt: Geographer Andrew Curley, a member of the Navajo Nation, examines the history of coal development within the Navajo Nation, including why some Diné supported coal and the consequences of doing so. ",https://uapress.arizona.edu/book/carbon-sovereignty,book,image/jpeg,Image;StillImage,eng,image,/objects/curley.jpg,/objects/small/curley_sm.jpg,/objects/thumbs/curley_th.jpg
curley2,"“Colonial Becoming: An Unfolding Story of the Colorado River""",curley2.jpg,Andrew Curley,"Abstract excerpt: This paper argues that the Colorado River is a story of ‘colonial becoming,’ the making of a ‘resource’ for purposes of diversion, irrigation, and ultimately dispossession. The paper works first to show how settler-colonialists defined ‘the river,’ then linked it to projects of empire informed by a colonial ontology that saw the desert as bereft of life and needing improvement. ",https://acme-journal.org/index.php/acme/article/view/2455,article,image/jpeg,Image;StillImage,eng,image,/objects/curley2.jpg,/objects/small/curley2_sm.jpg,/objects/thumbs/curley2_th.jpg
curley3,"""Infrastructures as colonial beachheads: The Central Arizona Project and the taking of Navajo resources"" ",curley3.jpg,Andrew Curley,"Abstract excerpt: This article accounts for the colonial politics necessary to bring Colorado River water into Phoenix and Tucson. It highlights how the following moments worked to enlarge Arizona’s population and power while denying Diné water claims: the 1922 Colorado Compact, Arizona’s 1960s campaign for the Central Arizona Project, and recent Indian water settlements between Arizona and Navajo Nation. ",https://journals.sagepub.com/doi/10.1177/0263775821991537,article,image/jpeg,Image;StillImage,eng,image,/objects/curley3.jpg,/objects/small/curley3_sm.jpg,/objects/thumbs/curley3_th.jpg
dawson,"“Sedimentary Justice: A Planetary Politics of Shifting Sediment""",dawson.jpg,Kate Dawson,Kate Dawson highlights the injustices borne by sediment management as sediment is extracted from some sites in order to produce wealth and power in others. She calls for greater attention to sedimentary politics and distribution. ,https://antipodeonline.org/2021/07/12/sedimentary-justice,article,image/jpeg,Image;StillImage,eng,image,/objects/dawson.jpg,/objects/small/dawson_sm.jpg,/objects/thumbs/dawson_th.jpg
demuth,*Floating Coast: An Environmental History of the Bering Strait*,demuth.jpg,Bathsheba Demuth,"Synopsis excerpt: The unforgiving territories along the Bering Strait had long been home to humans—the Iñupiat and Yupik in Alaska, and the Yupik and Chukchi in Russia—before American and European colonization. Rapidly, these frigid lands and waters became the site of an ongoing experiment: How, under conditions of extreme scarcity, would modern ideologies of capitalism and communism control and manage the resources they craved? ",https://wwnorton.com/books/9780393358322,book,image/jpeg,Image;StillImage,eng,image,/objects/demuth.jpg,/objects/small/demuth_sm.jpg,/objects/thumbs/demuth_th.jpg
dickey,*Sacrilege in Dinétah: Native Encounters with Glen Canyon Dam*,dickey.jpg,Sonia Dickey,"Abstract Excerpt: This dissertation spotlights indigenous encounters with Glen Canyon Dam and places Native peoples, especially the Diné, at the center of the dam story. ",https://digitalrepository.unm.edu/hist_etds/21/,article,image/jpeg,Image;StillImage,eng,image,/objects/dickey.jpg,/objects/small/dickey_sm.jpg,/objects/thumbs/dickey_th.jpg
dooren,"“Lively Ethography: Storying Animist Worlds""",dooren.jpg,Thom van Dooren; Deborah Bird Rose ,Abstract excerpt: This article is an effort to dwell with the kinds of writing and thinking practices which foreground attentiveness to diverse forms of human and nonhuman life. ,https://read.dukeupress.edu/environmental-humanities/article/8/1/77/61701/Lively-EthographyStorying-Animist-Worlds,article,image/jpeg,Image;StillImage,eng,image,/objects/dooren.jpg,/objects/small/dooren_sm.jpg,/objects/thumbs/dooren_th.jpg
farmer,*Glen Canyon Dammed: Inventing Lake Powell and the Canyon Country*,farmer.jpg,Jared Farmer,"Synopsis excerpt: Jared Farmer traces the history of exploration and development in the Four Corners region, discusses the role of tourism in changing the face of the West, and shows how the ""invention"" of Lake Powell has served multiple needs. ",https://uapress.arizona.edu/book/glen-canyon-dammed,book,image/jpeg,Image;StillImage,eng,image,/objects/farmer.jpg,/objects/small/farmer_sm.jpg,/objects/thumbs/farmer_th.jpg
glencanyoninstitute,News of Glen Canyon,,Glen Canyon Institute,"For the latest news on Glen Canyon, check out Glen Canyon Institute's news page.",https://glencanyon.org/latest/,website,,,eng,,,,
hazard,*Underflows: Queer Trans Ecologies and River Justice*,hazard.jpg,Cleo Wolfe Hazard,"Synopsis excerpt: Rivers host vibrant multispecies communities in their waters and along their banks, and, according to queer-trans-feminist river scientist Cleo Wölfle Hazard, their future vitality requires centering the values of justice, sovereignty, and dynamism. ",https://uwapress.uw.edu/book/9780295749754/underflows/,book,image/jpeg,Image;StillImage,eng,image,/objects/hazard.jpg,/objects/small/hazard_sm.jpg,/objects/thumbs/hazard_th.jpg
kredell,"""Building a Geospatial Archive of Species Loss as Response to Local Caribou Extinction""",kredell.jpg,Jack Kredell; Chris Lamb; Devin Becker,"Abstract excerpt: This article argues that a multidisciplinary synthesis of GIS, digital, and narrative approaches is critical for communicating and exploring shifting spatial relations in the era of the Anthropocene and sixth mass extinction.",https://read.dukeupress.edu/environmental-humanities/article/17/1/190/399045/Building-a-Geospatial-Archive-of-Species-Loss-as,article,image/jpeg,Image;StillImage,eng,image,/objects/kredell.jpg,/objects/small/kredell_sm.jpg,/objects/thumbs/kredell_th.jpg
lee,*All My Rivers are Gone: A Journey of Discovery Through Glen Canyon,lee.jpg,Katie Lee,"Synopsis excerpt: Glen Canyon and the river that ran through it changed Katie Lee's life. She'd made sixteen trips down the river, even named some of the side canyons. Her descriptions of a magnificent desert oasis and its rich archaeological ruins are a paean to paradise lost. ",https://www.simonandschuster.com/books/All-My-Rivers-Are-Gone/Katie-Lee/9781917895156,book,image/jpeg,Image;StillImage,eng,image,/objects/lee.jpg,/objects/small/lee_sm.jpg,/objects/thumbs/lee_th.jpg
ogden,*Loss and Wonder at the World's End*,ogden.jpg,Laura Ogden,"Synopsis excerpt: In *Loss and Wonder at the World's End*, Laura Ogden brings together animals, people, and things—from beavers, stolen photographs, lichen, American explorers, and birdsong to catalog the ways environmental change and colonial history are entangled in the Fuegian Archipelago of southernmost Chile and Argentina. ",https://read.dukeupress.edu/books/book/2956/Loss-and-Wonder-at-the-World-s-End,book,image/jpeg,Image;StillImage,eng,image,/objects/ogden.jpg,/objects/small/ogden_sm.jpg,/objects/thumbs/ogden_th.jpg
parrinello,"“The social life of sediment""",parrinello.jpg,Giacomo Parrinello; G. Mathias Kondolf,"Abstract excerpt: This article introduces the concept of the “social life of sediment,” that is, the idea that the existence and movement of sediment is entwined with social needs, values, and activities, and needs to be appraised in his historical dimension.",https://link-springer-com.uidaho.idm.oclc.org/article/10.1007/s12685-021-00280-w,article,image/jpeg,Image;StillImage,eng,image,/objects/parrinello.jpg,/objects/small/parrinello_sm.jpg,/objects/thumbs/parrinello_th.jpg
patagonia,*DamNation: The Problem with Hydropower*,patagonia.jpg,Patagonia Films,"This documentary, produced by Patagonia films, explores the damage wrought by dams across the United States. A large portion of the film focuses on Glen Canyon and Katie Lee's trips though it. ",https://www.youtube.com/watch?v=laTIbNVDQN8,video,image/jpeg,Image;StillImage,eng,image,/objects/patagonia.jpg,/objects/small/patagonia_sm.jpg,/objects/thumbs/patagonia_th.jpg
podmore,*Life After Deadpool: Lake Powell's Last Days and the Rebirth of the Colorado River*,podmore.jpg,Zak Podmore,"Synopsis excerpt: A changing climate and design flaws in the Glen Canyon Dam have pushed the once-massive Lake Powell reservoir to the brink of collapse. Now, as Glen Canyon reemerges, its surprising ecological rebirth reminds us that nature’s capacity to heal may well outpace our own imaginations. Environmental journalist Zak Podmore explores the complex challenges ahead and reframes the inevitable loss of Lake Powell as a turning point for a more sustainable future.",https://www.torreyhouse.org/life-after-dead-pool),book,image/jpeg,Image;StillImage,eng,image,/objects/podmore.jpg,/objects/small/podmore_sm.jpg,/objects/thumbs/podmore_th.jpg
powell,"*Dead Pool: Lake Powell, Global Warming, and the Future of Water in the West*",powell.jpg,James Lawrence Podmore,"Synopsis excerpt: *Dead Pool* explains why America built the dam that made Lake Powell and others like it and then allowed its citizens to become dependent on their benefits, which were always temporary. Writing for a wide audience, Powell shows us exactly why an urgent threat during the first half of the twenty-first century will come not from the rising of the seas but from the falling of the reservoirs. ",https://www.ucpress.edu/books/dead-pool/paper,book,image/jpeg,Image;StillImage,eng,image,/objects/powell.jpg,/objects/small/powell_sm.jpg,/objects/thumbs/powell_th.jpg
smith,*Ice Geographies: The Colonial Politics of Race and Indigeneity in the Arctic*,smith.jpg,Jen Rose Smith,"Synopsis excerpt: Jen Rose Smith, professor of American Indian Studies and Geographies, centers ice to study race and indigeneity by investigating ice relations as sites and sources of analysis that are bound up with colonial and racial formations as well as ice geographies beyond those formations.",https://www.dukeupress.edu/ice-geographies,book,image/jpeg,Image;StillImage,eng,image,/objects/smith.jpg,/objects/small/smith_sm.jpg,/objects/thumbs/smith_th.jpg
tsing,*The Mushroom at the End of the World: On the Possibility of Life in Capitalist Ruins*,tsing.jpg,Anna Lowenhaupt Tsing,"Synopsis excerpt: By investigating one of the world’s most sought-after fungi, *The Mushroom at the End of the World* presents an original examination into the relation between capitalist destruction and collaborative survival within multispecies landscapes, the prerequisite for continuing life on earth. ",https://press.princeton.edu/books/paperback/9780691220550/the-mushroom-at-the-end-of-the-world?srsltid=AfmBOor6i2kKcnQAZx9amDnlga8PpbY1TeJ6teQLMO_YD-7XS-REztQz,book,image/jpeg,Image;StillImage,eng,image,/objects/tsing.jpg,/objects/small/tsing_sm.jpg,/objects/thumbs/tsing_th.jpg
massey,*For Space*,massey.jpg,Doreen Massey,"Synopsis excerpt: In this book, Doreen Massey makes an impassioned argument for revitalising our imagination of space. She takes on some well-established assumptions from philosophy, and some familiar ways of characterising the twenty-first century world, and shows how they restrain our understanding of both the challenge and the potential of space.",https://us.sagepub.com/en-us/nam/for-space/book227109,book,image/jpeg,Image;StillImage,eng,image,/objects/massey.jpg,/objects/small/massey_sm.jpg,/objects/thumbs/massey_th.jpg